# OLiA discourse	label	DBO	Saplo	Yahoo	Zemanta	SemiTags	NERD
<http://purl.org/olia/discourse/olia_discourse.owl#RadioProgram>	radio program				<http://developer.zemanta.com/docs/entity_type/radio_program>		<http://nerd.eurecom.fr/ontology#RadioProgram>
<http://purl.org/olia/discourse/olia_discourse.owl#RadioStation>	radio station						<http://nerd.eurecom.fr/ontology#RadioStation>
<http://purl.org/olia/discourse/olia_discourse.owl#Restaurant>	restaurant						<http://nerd.eurecom.fr/ontology#Restaurant>
<http://purl.org/olia/discourse/olia_discourse.owl#River>	river						<http://nerd.eurecom.fr/ontology#River>
<http://purl.org/olia/discourse/olia_discourse.owl#Road>	road						<http://nerd.eurecom.fr/ontology#Road>
<http://purl.org/olia/discourse/olia_discourse.owl#SchoolNewspaper>	school newspaper						<http://nerd.eurecom.fr/ontology#SchoolNewspaper>
<http://purl.org/olia/discourse/olia_discourse.owl#ShoppingMall>	shopping mall						<http://nerd.eurecom.fr/ontology#ShoppingMall>
<http://purl.org/olia/discourse/olia_discourse.owl#SoccerClub>	soccer club						<http://nerd.eurecom.fr/ontology#SoccerClub>
<http://purl.org/olia/discourse/olia_discourse.owl#SoccerPlayer>	soccer player						<http://nerd.eurecom.fr/ontology#SoccerPlayer>
<http://purl.org/olia/discourse/olia_discourse.owl#Software>	software	<http://dbpedia.org/ontology/Software>			<http://developer.zemanta.com/docs/entity_type/software>		<http://nerd.eurecom.fr/ontology#Software>
<http://purl.org/olia/discourse/olia_discourse.owl#Song>	song	<http://dbpedia.org/ontology/Song>					<http://nerd.eurecom.fr/ontology#Song>
<http://purl.org/olia/discourse/olia_discourse.owl#Song>	track				<http://developer.zemanta.com/docs/entity_type/track>		<http://nerd.eurecom.fr/ontology#Time>
<http://purl.org/olia/discourse/olia_discourse.owl#Space>	LOC						
<http://purl.org/olia/discourse/olia_discourse.owl#Space>	location		<http://developer.saplo.com/method/text-tags#Location>	<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#location>		<http://ner2.lmcloud.vse.cz/SemiTags/app/static/types#location>	<http://nerd.eurecom.fr/ontology#Location>
<http://purl.org/olia/discourse/olia_discourse.owl#Space>	place	<http://dbpedia.org/ontology/Place>		<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#place>			
<http://purl.org/olia/discourse/olia_discourse.owl#Space>	space						
<http://purl.org/olia/discourse/olia_discourse.owl#Spacecraft>	spacecraft	<http://dbpedia.org/ontology/Spacecraft>					<http://nerd.eurecom.fr/ontology#Spacecraft>
<http://purl.org/olia/discourse/olia_discourse.owl#SportsEvent>	sport event						<http://nerd.eurecom.fr/ontology#SportEvent>
<http://purl.org/olia/discourse/olia_discourse.owl#SportsEvent>	sports event	<http://dbpedia.org/ontology/SportsEvent>					
<http://purl.org/olia/discourse/olia_discourse.owl#SportsLeague>	sports league						<http://nerd.eurecom.fr/ontology#SportsLeague>
<http://purl.org/olia/discourse/olia_discourse.owl#SportsOrganization>	sports organization						
<http://purl.org/olia/discourse/olia_discourse.owl#SportsTeam>	sports team						<http://nerd.eurecom.fr/ontology#SportsTeam>
